"ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"1400EB0317","esuadwad",,,"Priory Road south",,"Priory Road",,"Sevenoaks Road",,"Langney Rise",,,,"adj",,"S","E0010503","Langney","Eastbourne",,,,,,0,"U",563161,101994,0.31372011775,50.7945509995,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2011-06-09 11:59:00,6,"rev","act"
"1400EB0318","esuadwag",,,"Priory Road south",,"Priory Road",,"Priory Road",,"Langney Rise",,,,"opp",,"NW","E0010503","Langney","Eastbourne",,,,,,0,"U",563085,102109,0.31269370759,50.7956056723,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2011-06-09 11:58:00,5,"rev","act"
"1400EB0328","esuadwdp",,,"Friday Street",,,,"Friday Street",,"Pennine Way",,,,"SW-bound",,"SW","E0010503","Langney","Eastbourne",,,,,,0,"U",562289,103454,0.30200273855,50.8079141329,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-20 14:24:00,1,"rev","act"
"1400EB0329","esuadwdt",,,"Priory Road north",,"Priory Road",,"Roundabout",,"Eastbourne Road",,,,"adj",,"SW","E0010503","Langney","Eastbourne",,,,,,0,"U",563252,103488,0.31567383973,50.80794928,"BCT","MKD","OTH",,,,"079",2006-11-21 00:00:00,2011-06-22 16:12:00,3,"rev","act"
"1400EB0321","esuadwap",,,"Crematorium",,,,"Crematorium",,"Hide Hollow",,,,"adj",,"SW","E0010503","Langney","Eastbourne",,,,,,0,"U",562854,103267,0.30993195528,50.806075474,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2010-08-16 13:20:00,2,"rev","act"
"1400EB0322","esuadwat",,,"Crematorium",,,,"Crematorium",,"Hide Hollow",,,,"opp",,"NE","E0010503","Langney","Eastbourne",,,,,,0,"U",562855,103288,0.30995544377,50.8062638828,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-16 13:22:00,2,"rev","act"
"1400EB0363","esuadwpg",,,"Oak Tree Lane",,,,"Oak Tree Lane",,"Friday Street",,,,"adj",,"SE","E0010503","Langney","Eastbourne",,,,,,0,"U",562046,103713,0.29867105246,50.8103092896,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-20 14:27:00,1,"rev","act"
"1400EB0360","esuadwmw",,,"Pennine Way",,,,"Pennine Way",,"Friday Street",,,,"adj",,"SE","E0010503","Langney","Eastbourne",,,,,,0,"U",562245,103459,0.30138099191,50.8079713735,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-16 14:02:00,2,"rev","act"
"1400EB0361","esuadwpa",,,"Pennine Way",,,,"Pennine Way",,"Friday Street",,,,"opp",,"NW","E0010503","Langney","Eastbourne",,,,,,0,"U",562209,103478,0.30087887192,50.8081521666,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2006-12-20 14:23:00,1,"rev","act"
"1400EB0362","esuadwpd",,,"Oak Tree Lane",,,,"Oak Tree Lane",,"Friday Street",,,,"opp",,"NW","E0010503","Langney","Eastbourne",,,,,,0,"U",561928,103798,0.29703510039,50.8111060103,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2016-12-22 12:38:00,2,"rev","act"
"1400EB10026","esudjdpj",,,"Langney Roundabout South",,,,"Langney Roundabout",,"St Anthony's Avenue",,,,"SW-bound",,"SW","E0010503","Langney","Eastbourne",,"Eastbourne",,,,0,"U",563139,101712,0.31328310801,50.7920233547,"BCT","MKD","OTH",,,,"079",2010-09-13 14:54:00,2016-12-22 12:23:00,6,"del","del"
"1400EB75039","esuagdtd",,,"Tanbridge Road",,,,"Tanbridge Road",,"Pevensey Bay Road",,,,"adj",,"NE","E0010503","Langney","Eastbourne",,,,,,0,"U",563861,102439,0.32384205594,50.798352075,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2016-12-22 12:55:00,4,"rev","act"
"1400EB75037","esuagdta",,,"Langney Green",,,,"Langney Roundabout",,"Pevensey Bay Road",,,,"adj",,"NE","E0010503","Langney","Eastbourne",,,,,,0,"U",563319,101876,0.31590760511,50.7934462819,"BCT","MKD","TIP",,,,"079",2005-08-08 00:00:00,2010-08-16 14:10:00,4,"rev","act"
"1400EB75035","esuagdpw",,,"Langney Roundabout South",,,,"Langney Roundabout",,"St Anthony's Avenue",,,,"NE-bound",,"NE","E0010503","Langney","Eastbourne",,,,,,0,"U",563134,101745,0.31322686946,50.7923212731,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2011-04-04 14:41:00,5,"rev","act"
"1400EB75055","esuagdwg",,,"Tanbridge Road",,,,"Tanbridge Road",,"Pevensey Bay Road",,,,"opp",,"SW","E0010503","Langney","Eastbourne",,,,,,0,"U",563871,102423,0.32397669955,50.7982054874,"BCT","MKD","OTH",,,,"079",2005-08-08 00:00:00,2016-12-22 12:54:00,2,"rev","act"
